Longitude,Latitude,datetime,UHI Index,NDVI,NDWI,NDBI
-73.90916667,40.81310667,24-07-2021 15:53,1.030288903,0.20605661619486504,-0.22664881151657182,-0.011037527593818985
-73.90918667,40.813045,24-07-2021 15:53,1.030288903,0.4850894632206759,-0.46279373368146215,-0.1828978622327791
-73.909215,40.81297833,24-07-2021 15:53,1.023797758,0.4850894632206759,-0.46279373368146215,-0.1828978622327791
-73.90924167,40.81290833,24-07-2021 15:53,1.023797758,0.49583545809960905,-0.48347943358057993,-0.17395944503735325
-73.90925667,40.812845,24-07-2021 15:53,1.021634043,0.5061857466457571,-0.4781121751025992,-0.14384014820696042
-73.90928,40.81277667,24-07-2021 15:53,1.021634043,0.5790482274033855,-0.5256904798642185,-0.20894974935811225
-73.90931167,40.81271,24-07-2021 15:53,1.015142899,0.5790482274033855,-0.5256904798642185,-0.20894974935811225
-73.90934,40.81264333,24-07-2021 15:53,1.015142899,0.5122828040742959,-0.5154608225758031,-0.1406620720822506
-73.90936333,40.81256167,24-07-2021 15:53,1.012979184,0.4698870765370138,-0.48338081671415006,-0.10401696312875486
-73.90938333,40.812485,24-07-2021 15:53,1.012979184,0.48639129042587254,-0.45631372549019605,-0.07565751361371799
-73.90939333,40.81240333,24-07-2021 15:53,1.010815469,0.43928334439283345,-0.416952474277315,-0.041911853008286294
-73.90942,40.81233,24-07-2021 15:53,1.010815469,0.3240038872691934,-0.30398162327718226,0.150093574547723
-73.90945333,40.81223667,24-07-2021 15:53,1.010815469,0.2722563936549045,-0.275974025974026,-0.014324428958575301
-73.90947667,40.81216333,24-07-2021 15:53,1.010815469,0.2722563936549045,-0.275974025974026,-0.014324428958575301
-73.90949333,40.81209333,24-07-2021 15:53,1.010815469,0.16433566433566432,-0.1885782272456871,0.06362038664323375
-73.90952167,40.81203167,24-07-2021 15:53,1.010815469,0.11919770773638969,-0.15562130177514794,0.07495559502664298
-73.90953,40.81198167,24-07-2021 15:53,1.010815469,0.11132749107432652,-0.13527851458885942,0.14666666666666667
-73.90954833,40.81194,24-07-2021 15:54,1.010815469,0.06623152236513727,-0.08540160250146571,-0.09384539635647464
-73.90956333,40.8119,24-07-2021 15:54,1.010815469,0.06623152236513727,-0.08540160250146571,-0.09384539635647464
-73.90958167,40.81186333,24-07-2021 15:54,1.010815469,0.04617713853141559,-0.09682539682539683,0.05201783468617812
-73.9096,40.81181167,24-07-2021 15:54,1.012979184,0.04617713853141559,-0.09682539682539683,0.05201783468617812
-73.909615,40.81175333,24-07-2021 15:54,1.012979184,0.05824284304047384,-0.08906197087707417,0.09890725693471561
-73.90963167,40.8117,24-07-2021 15:54,1.012979184,0.05769702921679352,-0.07969924812030076,0.04
-73.90964667,40.81164333,24-07-2021 15:54,1.012979184,0.05769702921679352,-0.07969924812030076,0.04
-73.90966167,40.81157833,24-07-2021 15:54,1.012979184,0.003243243243243243,-0.04645917907081642,0.004078128353723975
-73.909675,40.81151,24-07-2021 15:54,1.012979184,0.12402515723270441,-0.18138551031200423,0.022960857205335666
-73.90969333,40.81144167,24-07-2021 15:54,1.012979184,0.4478889873043992,-0.44002349141095287,-0.1452592246613732
-73.909705,40.81137667,24-07-2021 15:54,1.012979184,0.4478889873043992,-0.44002349141095287,-0.1452592246613732
-73.90971333,40.81132,24-07-2021 15:54,1.012979184,0.5000785545954438,-0.4752781211372064,-0.13208442020393646
-73.909745,40.81123,24-07-2021 15:54,1.012979184,0.36947996589940324,-0.36808039516266394,-0.09353301565690947
-73.909755,40.81120333,24-07-2021 15:54,1.012979184,0.36947996589940324,-0.36808039516266394,-0.09353301565690947
-73.90977,40.81116167,24-07-2021 15:54,1.015142899,0.24091919940696813,-0.23610854716632823,-0.002845589336528381
